,Prolific ID,test_index,num_feats,Correct Response,test_key_resp.corr,test_key_resp.rt,graph_type
33,646bbfb77ab727d9c05dd0da,13.0,2.0,left,0.0,5.7174,structured
34,646bbfb77ab727d9c05dd0da,1.0,1.0,right,1.0,4.6068,structured
35,646bbfb77ab727d9c05dd0da,41.0,4.0,left,0.0,5.4439,structured
36,646bbfb77ab727d9c05dd0da,4.0,1.0,right,1.0,7.5416,structured
37,646bbfb77ab727d9c05dd0da,26.0,3.0,right,1.0,7.5014,structured
38,646bbfb77ab727d9c05dd0da,37.0,4.0,left,1.0,7.7327,structured
39,646bbfb77ab727d9c05dd0da,19.0,2.0,right,1.0,6.418,structured
40,646bbfb77ab727d9c05dd0da,35.0,3.0,right,1.0,6.1528,structured
41,646bbfb77ab727d9c05dd0da,20.0,2.0,right,0.0,7.902,structured
42,646bbfb77ab727d9c05dd0da,6.0,1.0,left,0.0,9.4339,structured
43,646bbfb77ab727d9c05dd0da,17.0,2.0,left,1.0,9.35,structured
44,646bbfb77ab727d9c05dd0da,23.0,2.0,left,1.0,8.9926,structured
45,646bbfb77ab727d9c05dd0da,33.0,3.0,left,1.0,8.104,structured
46,646bbfb77ab727d9c05dd0da,8.0,1.0,right,1.0,5.3382,structured
47,646bbfb77ab727d9c05dd0da,40.0,4.0,right,0.0,6.5084,structured
0,5a351b1ac82921000136b467,33.0,3.0,left,1.0,5.5281,structured
1,5a351b1ac82921000136b467,12.0,2.0,left,1.0,5.352,structured
2,5a351b1ac82921000136b467,19.0,2.0,left,1.0,3.3064,structured
3,5a351b1ac82921000136b467,40.0,4.0,right,1.0,3.1956,structured
4,5a351b1ac82921000136b467,2.0,1.0,right,1.0,3.4174,structured
5,5a351b1ac82921000136b467,42.0,4.0,left,1.0,1.764,structured
6,5a351b1ac82921000136b467,43.0,4.0,right,1.0,1.5231,structured
7,5a351b1ac82921000136b467,5.0,1.0,right,1.0,2.1672,structured
8,5a351b1ac82921000136b467,8.0,1.0,right,1.0,1.8499,structured
9,5a351b1ac82921000136b467,0.0,1.0,right,1.0,2.7998,structured
10,5a351b1ac82921000136b467,45.0,4.0,left,1.0,2.0373,structured
11,5a351b1ac82921000136b467,46.0,4.0,right,1.0,1.4381,structured
12,5a351b1ac82921000136b467,23.0,2.0,right,1.0,2.4613,structured
13,5a351b1ac82921000136b467,32.0,3.0,left,1.0,1.0868,structured
14,5a351b1ac82921000136b467,11.0,1.0,right,1.0,1.6181,structured
15,5a351b1ac82921000136b467,44.0,4.0,left,1.0,1.2555,structured
16,5a351b1ac82921000136b467,17.0,2.0,right,1.0,1.8341,structured
17,5a351b1ac82921000136b467,6.0,1.0,left,1.0,2.7542,structured
18,5a351b1ac82921000136b467,41.0,4.0,left,1.0,1.4869,structured
19,5a351b1ac82921000136b467,13.0,2.0,right,1.0,1.7,structured
20,5a351b1ac82921000136b467,38.0,4.0,right,1.0,1.4662,structured
21,5a351b1ac82921000136b467,18.0,2.0,right,1.0,1.883,structured
22,5a351b1ac82921000136b467,21.0,2.0,right,1.0,1.4629,structured
23,5a351b1ac82921000136b467,14.0,2.0,right,1.0,2.3103,structured
24,5a351b1ac82921000136b467,27.0,3.0,right,1.0,1.6861,structured
25,5a351b1ac82921000136b467,24.0,3.0,left,1.0,1.0749,structured
26,5a351b1ac82921000136b467,29.0,3.0,right,1.0,1.2751,structured
27,5a351b1ac82921000136b467,1.0,1.0,right,1.0,1.5672,structured
28,5a351b1ac82921000136b467,20.0,2.0,right,1.0,1.5089,structured
29,5a351b1ac82921000136b467,22.0,2.0,left,1.0,1.3726,structured
30,5a351b1ac82921000136b467,10.0,1.0,right,1.0,1.4546,structured
31,5a351b1ac82921000136b467,25.0,3.0,right,1.0,1.4569,structured
32,5a351b1ac82921000136b467,34.0,3.0,right,1.0,1.2602,structured
33,5a351b1ac82921000136b467,30.0,3.0,left,1.0,1.0042,structured
34,5a351b1ac82921000136b467,15.0,2.0,right,1.0,1.266,structured
35,5a351b1ac82921000136b467,3.0,1.0,left,1.0,1.9037,structured
36,5a351b1ac82921000136b467,7.0,1.0,right,1.0,1.3053,structured
37,5a351b1ac82921000136b467,4.0,1.0,left,1.0,4.7844,structured
38,5a351b1ac82921000136b467,37.0,4.0,right,1.0,1.7624,structured
39,5a351b1ac82921000136b467,31.0,3.0,left,1.0,2.9835,structured
40,5a351b1ac82921000136b467,28.0,3.0,right,1.0,2.1543,structured
41,5a351b1ac82921000136b467,16.0,2.0,right,1.0,1.6215,structured
42,5a351b1ac82921000136b467,39.0,4.0,left,1.0,1.2527,structured
43,5a351b1ac82921000136b467,36.0,4.0,right,1.0,1.7313,structured
44,5a351b1ac82921000136b467,47.0,4.0,right,1.0,1.358,structured
45,5a351b1ac82921000136b467,9.0,1.0,left,0.0,1.1576,structured
46,5a351b1ac82921000136b467,26.0,3.0,right,1.0,1.548,structured
